iter	RMSE
0	23210.10844
1	22552.40355
2	22062.01679
3	21603.0194
4	20907.15213
5	20411.31226
6	19941.27336
7	19420.87855
8	18999.99442
9	18606.30279
10	18057.95407
11	17641.36903
12	17319.44881
13	16955.44685
14	16611.86079
15	16259.5255
16	15882.59529
17	15529.18566
18	15158.69844
19	14834.23733
20	14554.42115
21	14226.16484
22	13912.26801
23	13564.70489
24	13252.6548
25	12959.83468
26	12744.37137
27	12441.26369
28	12177.91802
29	11949.40017
30	11697.38677
31	11477.19116
32	11279.72773
33	11045.6424
34	10806.96009
35	10589.10834
36	10377.94946
37	10175.64774
38	9955.849953
39	9783.303354
40	9591.38324
41	9399.487548
42	9241.210664
43	9096.207233
44	8928.472532
45	8751.885721
46	8600.274042
47	8457.908614
48	8297.773588
49	8162.926773
50	8029.848287
51	7899.683579
52	7778.032652
53	7594.752119
54	7473.307214
55	7313.163652
56	7182.418586
57	7066.68273
58	6942.627676
59	6797.665645
60	6705.647877
61	6611.040573
62	6492.137631
63	6402.087981
64	6285.030845
65	6197.997727
66	6108.919606
67	5994.041437
68	5922.878263
69	5801.374478
70	5729.88067
71	5634.891318
72	5555.606568
73	5477.937398
74	5384.552572
75	5302.884142
76	5218.235054
77	5123.957081
78	5028.335726
79	4939.517912
80	4865.034372
81	4800.841142
82	4736.236633
83	4661.654545
84	4580.884066
85	4516.027399
86	4444.508403
87	4384.985658
88	4314.748331
89	4259.83848
90	4183.560857
91	4117.397182
92	4043.745112
93	3973.408805
94	3910.524764
95	3831.785652
96	3775.691123
97	3720.019631
98	3665.881929
99	3626.946352
100	3570.352101
101	3506.054734
102	3453.525638
103	3414.104579
104	3361.93696
105	3331.79401
106	3279.355348
107	3215.107136
108	3164.05227
109	3119.698736
110	3071.763942
111	3017.383593
112	2990.458013
113	2951.503336
114	2926.966002
115	2886.228847
116	2845.825295
117	2822.288
118	2770.413738
119	2726.534596
120	2679.114751
121	2633.73924
122	2611.99706
123	2566.123275
124	2536.692898
125	2515.74823
126	2476.874068
127	2442.242449
128	2422.106166
129	2400.980436
130	2361.336119
131	2339.111461
132	2299.552641
133	2279.659021
134	2247.790946
135	2221.707218
136	2201.975416
137	2183.184296
138	2164.717985
139	2146.571318
140	2110.812085
141	2075.600398
142	2044.305017
143	2010.246604
144	1993.859241
145	1977.621457
146	1948.046557
147	1922.900595
148	1907.118936
149	1879.740227
150	1855.556024
151	1840.503633
152	1826.745237
153	1795.930175
154	1765.702601
155	1737.429952
156	1724.2223
157	1710.467289
158	1697.838883
159	1671.085939
160	1657.972729
161	1632.449525
162	1620.657536
163	1593.817186
164	1581.78648
165	1569.418748
166	1557.438368
167	1532.418564
168	1508.058182
169	1496.531071
170	1485.679576
171	1475.03689
172	1452.667228
173	1431.260554
174	1420.655551
175	1410.282962
176	1389.323676
177	1379.224235
178	1357.613915
179	1348.336231
180	1327.506126
181	1318.044166
182	1297.965147
183	1288.814943
184	1280.348125
185	1261.007646
186	1252.313979
187	1238.340012
188	1220.897644
189	1207.455369
190	1194.28944
191	1181.394526
192	1173.875772
193	1156.670285
194	1137.697401
195	1122.741531
196	1115.67969
197	1101.162481
198	1094.322395
199	1076.778839
200	1062.989932
201	1047.513255
202	1041.056923
203	1027.260147
204	1021.022487
205	1010.373337
206	997.1478322
207	986.8714089
208	974.1077315
209	961.6462602
210	948.204943
211	942.5823399
212	929.2405475
213	917.4004252
214	912.041085
215	899.3140303
216	888.0217953
217	879.1075416
218	866.9696806
219	858.3128376
220	846.5587978
221	834.936286
222	826.6680437
223	815.4332775
224	804.2573112
225	793.419567
226	783.0787493
227	775.3806447
228	769.4364105
229	759.2140483
230	751.789546
231	741.8917688
232	737.0954383
233	726.6503341
234	718.1213453
235	709.9303033
236	701.929041
237	691.5444753
238	682.8730844
239	677.858358
240	667.9061579
241	659.4447816
242	655.2859904
243	645.7299298
244	641.0715749
245	631.7902629
246	623.9380652
247	620.0705501
248	611.1573458
249	604.9546017
250	596.3205936
251	587.8787539
252	581.9721505
253	573.7938662
254	565.7970325
255	559.7309827
256	556.2960253
257	549.1924634
258	541.6204663
259	534.9346068
260	528.2055903
261	525.0108908
262	517.8631784
263	512.4020492
264	506.0124854
265	503.0094702
266	496.9206004
267	490.80394
268	487.9421183
269	482.721222
270	476.8592045
271	471.6502508
272	466.9576631
273	462.035028
274	457.2042827
275	452.8114148
276	446.7350763
277	441.5585621
278	437.2677183
279	432.5889125
280	428.4399594
281	422.7720381
282	418.7637512
283	414.8406606
284	409.4101352
285	403.4195783
286	397.5799168
287	391.8877841
288	385.7832619
289	380.3062117
290	374.968169
291	370.9007622
292	365.7324199
293	360.7919559
294	355.8464935
295	350.3286959
296	345.5714851
297	341.0115903
298	336.459799
299	331.2804265
300	326.9931723
301	324.1416626
302	321.3454431
303	318.6032171
304	314.160142
305	310.9528923
306	308.3335688
307	304.0604695
308	300.1892982
309	295.5759403
310	293.1002743
311	290.6723908
312	286.6849282
313	282.2091136
314	279.9014433
315	275.6045605
316	273.4773995
317	270.6710008
318	268.6208349
319	265.0557762
320	261.5589202
321	258.1289941
322	254.5286761
323	251.2185628
324	247.7614306
325	244.5666116
326	241.4330415
327	238.1633231
328	235.5694938
329	233.0175854
330	230.3402384
331	227.4416717
332	225.0098427
333	222.6174013
334	219.8529992
335	216.3661688
336	213.9352698
337	211.6970815
338	208.7323344
339	206.1832445
340	203.8019547
341	202.7483628
342	201.6646354
343	199.1679417
344	196.4027593
345	194.0119794
346	191.6242978
347	188.979708
348	187.9781437
349	185.6762271
350	183.3959648
351	181.0032819
352	177.9663774
353	175.705081
354	173.7255465
355	172.7907304
356	169.9130049
357	167.7519006
358	166.5231087
359	163.8392178
360	163.0099558
361	161.3789683
362	159.9457167
363	158.7923618
364	156.1560148
365	155.039364
366	152.1358634
367	151.0566513
368	148.5291429
369	145.7764643
370	143.9319223
371	142.8572344
372	140.6614462
373	139.6687395
374	137.0984134
375	134.8259531
376	133.2738731
377	131.3553277
378	129.1413518
379	126.9873654
380	124.8918173
381	122.8531948
382	120.8700224
383	120.2540014
384	118.3313617
385	117.7357429
386	115.9609825
387	114.2513031
388	113.1077023
389	111.4822936
390	110.3886882
391	109.3226378
392	108.310133
393	106.6087075
394	104.5022966
395	103.4523858
396	101.8922205
397	100.8892671
398	99.91572042
399	98.97058833
400	97.49839438
401	96.73066026
402	95.38584871
403	94.27073601
404	92.88686746
405	91.76733323
406	90.91032852
407	90.26034159
408	89.62483732
409	88.81108811
410	87.51565437
411	86.51334572
412	85.91173508
413	85.32357663
414	84.74854703
415	83.58111245
416	82.83945687
417	82.29281065
418	81.10931195
419	79.88011474
420	78.34901318
421	77.27520388
422	76.51854101
423	75.0681429
424	74.04417369
425	73.03980795
426	71.99825409
427	71.02711228
428	70.07459872
429	69.38292206
430	68.406423
431	67.48109149
432	66.57437954
433	65.65142396
434	64.86678716
435	64.44212124
436	63.67188904
437	63.26274398
438	62.18654911
439	61.50671265
440	61.12067971
441	60.2448362
442	59.87369789
443	59.13049016
444	58.52848072
445	58.24261881
446	57.52417164
447	57.17824537
448	56.47766274
449	55.79132306
450	55.52179003
451	54.85102226
452	54.19391001
453	53.87342462
454	53.23243154
455	52.60449738
456	52.28047425
457	51.66798888
458	51.35527035
459	50.6736892
460	50.40302126
461	49.73804386
462	49.47548017
463	48.82664202
464	48.2333219
465	47.98326201
466	47.59504989
467	47.34993248
468	46.96768737
469	46.75814872
470	46.38138647
471	46.17511331
472	45.80374777
473	45.56919627
474	45.30373245
475	44.93754349
476	44.74042385
477	44.37947939
478	44.15545244
479	43.80003369
480	43.60831622
481	43.25798633
482	43.00761848
483	42.79365272
484	42.44817554
485	42.20645251
486	41.86612835
487	41.6852241
488	41.34977362
489	41.13816366
490	40.96304947
491	40.63205419
492	40.42796743
493	40.10225132
494	39.91996735
495	39.59864069
496	39.40125261
497	39.22448099
498	38.90711644
499	38.71654007
500	38.40420443
501	38.23165967
502	37.92352887
503	37.73913948
504	37.25035173
505	36.95325771
506	36.7849634
507	36.49186208
508	36.25944388
509	35.97076616
510	35.79531954
511	35.51106328
512	35.28629443
513	35.00629634
514	34.78718722
515	34.51135026
516	34.24024028
517	34.02590841
518	33.75880127
519	33.54967044
520	33.24743537
521	33.09046551
522	32.8307705
523	32.62916364
524	32.37325218
525	32.08520545
526	31.92252588
527	31.50080288
528	31.25509252
529	30.90345172
530	30.66351812
531	30.32117185
532	30.0868472
533	29.82295127
534	29.34721398
535	29.02215309
536	28.8001655
537	28.55111759
538	28.10111127
539	27.88250528
540	27.44602565
541	27.14480834
542	26.93514811
543	26.62406939
544	26.35023494
545	25.99687953
546	25.59594288
547	25.22810558
548	24.84571986
549	24.57545385
550	24.30002845
551	24.05232295
552	23.7877401
553	23.41806906
554	23.08557606
555	22.76102418
556	22.51518956
557	22.26252339
558	22.01478055
559	21.73309883
560	21.49042443
561	21.17359627
562	21.01192218
563	20.68874621
564	20.45963708
565	20.16257901
566	19.9418914
567	19.67421552
568	19.51017019
569	19.34917896
570	19.19118632
571	19.03613823
572	18.88398207
573	18.7346665
574	18.60926154
575	18.48616116
576	18.36533222
577	18.24674192
578	18.13035771
579	18.01614737
580	17.90407892
581	17.7941207
582	17.57222447
583	17.35199978
584	17.17885706
585	16.9283786
586	16.77774354
587	16.69400325
588	16.58041024
589	16.46905012
590	16.35988291
591	16.2528695
592	16.05382032
593	15.85632483
594	15.69248376
595	15.61314046
596	15.510578
597	15.41004074
598	15.25126819
599	15.17425229
600	15.07631187
601	14.92198524
602	14.84709588
603	14.76020969
604	14.6096927
605	14.46221215
606	14.3896569
607	14.2766124
608	14.13323721
609	13.91843077
610	13.77437061
611	13.63765545
612	13.50397691
613	13.35042842
614	13.16004421
615	12.981261
616	12.82795712
617	12.62530651
618	12.40680527
619	12.21382117
620	12.04486854
621	11.84168367
622	11.66065205
623	11.46730984
624	11.29489247
625	11.1454696
626	11.00219631
627	10.8645826
628	10.73051462
629	10.55766732
630	10.41350202
631	10.27506266
632	10.11261389
633	9.97541681
634	9.850999976
635	9.759990982
636	9.630450166
637	9.554131222
638	9.404830349
639	9.280807092
640	9.195215695
641	9.078493619
642	9.020564252
643	8.90801433
644	8.85169466
645	8.782135483
646	8.727157689
647	8.625810797
648	8.558366178
649	8.492127629
650	8.439311762
651	8.374334179
652	8.318695061
653	8.255686688
654	8.201927625
655	8.108136103
656	8.055897133
657	7.968607412
658	7.881478682
659	7.797143926
660	7.746621825
661	7.697607813
662	7.649565964
663	7.559889491
664	7.51337312
665	7.432281522
666	7.383096239
667	7.337736139
668	7.254807269
669	7.210465374
670	7.133006152
671	7.085847635
672	7.042630315
673	6.964014474
674	6.881259349
675	6.839543433
676	6.754815434
677	6.71438873
678	6.644998766
679	6.600043686
680	6.560594241
681	6.521907933
682	6.458535378
683	6.41489342
684	6.377170532
685	6.30865079
686	6.26622508
687	6.201764612
688	6.160380489
689	6.123751049
690	6.087762801
691	6.017607543
692	5.97742574
693	5.941852928
694	5.880989392
695	5.841786001
696	5.807419163
697	5.773279246
698	5.711953901
699	5.673822641
700	5.640442238
701	5.579979661
702	5.542836366
703	5.473207373
704	5.441163425
705	5.40969995
706	5.347786146
707	5.297137656
708	5.239734669
709	5.18404559
710	5.149596335
711	5.11588938
712	5.085662059
713	5.031565139
714	5.00235405
715	4.94929029
716	4.888801729
717	4.860378526
718	4.803799461
719	4.753573745
720	4.727697743
721	4.677632079
722	4.629436558
723	4.602852856
724	4.554693435
725	4.497772263
726	4.440648613
727	4.367544096
728	4.322348309
729	4.293247237
730	4.26849951
731	4.22470612
732	4.200893363
733	4.132646313
734	4.091417126
735	4.049409737
736	4.026732433
737	3.979888199
738	3.939669371
739	3.916345069
740	3.894624881
741	3.849995732
742	3.816953332
743	3.794509087
744	3.758187078
745	3.728285928
746	3.707427369
747	3.64871761
748	3.619874897
749	3.599586536
750	3.565078882
751	3.544485314
752	3.510872339
753	3.46957156
754	3.44983968
755	3.417630184
756	3.385681085
757	3.348358007
758	3.329533682
759	3.311762349
760	3.267690401
761	3.234411082
762	3.217132605
763	3.20019836
764	3.164523537
765	3.139819248
766	3.12151796
767	3.103575029
768	3.076388149
769	3.059048652
770	3.03441427
771	3.017536152
772	3.000637008
773	2.976887797
774	2.960379523
775	2.943290093
776	2.907660008
777	2.882963441
778	2.848329808
779	2.814410021
780	2.798861873
781	2.765748023
782	2.749831689
783	2.717518758
784	2.685873557
785	2.670668517
786	2.639760412
787	2.624951101
788	2.593680243
789	2.579253003
790	2.548689987
791	2.534633178
792	2.504760478
793	2.491062899
794	2.461863503
795	2.448514362
796	2.420623599
797	2.392559107
798	2.379608371
799	2.352174179
