iter	Passed	Remaining
0	0	611
1	1	533
2	1	518
3	2	495
4	2	471
5	3	467
6	4	457
7	4	445
8	5	442
9	5	440
10	6	437
11	6	420
12	6	418
13	7	417
14	7	417
15	8	419
16	8	414
17	9	405
18	9	398
19	10	396
20	10	395
21	11	395
22	11	395
23	12	391
24	12	395
25	13	390
26	13	389
27	14	391
28	14	388
29	15	389
30	15	389
31	16	387
32	16	386
33	17	389
34	17	388
35	18	388
36	18	387
37	19	385
38	19	386
39	20	387
40	20	387
41	21	389
42	22	389
43	22	388
44	23	388
45	23	389
46	24	388
47	24	388
48	25	386
49	25	386
50	26	389
51	27	388
52	27	388
53	28	388
54	28	387
55	28	384
56	29	383
57	29	383
58	30	382
59	30	381
60	31	380
61	31	380
62	32	380
63	33	379
64	33	381
65	34	381
66	34	380
67	35	379
68	35	376
69	36	376
70	36	375
71	37	375
72	37	374
73	38	374
74	38	374
75	39	373
76	39	373
77	40	373
78	40	372
79	41	371
80	41	370
81	42	369
82	42	369
83	43	368
84	43	368
85	44	367
86	45	368
87	45	368
88	46	368
89	46	367
90	47	367
91	47	366
92	48	365
93	48	365
94	49	365
95	49	364
96	50	362
97	50	362
98	51	362
99	51	361
100	52	361
101	52	360
102	53	359
103	53	359
104	54	359
105	54	358
106	55	358
107	55	357
108	56	356
109	56	357
110	57	357
111	58	357
112	58	357
113	59	356
114	59	355
115	60	354
116	60	354
117	61	354
118	61	353
119	62	352
120	62	351
121	63	350
122	63	350
123	64	349
124	65	353
125	65	352
126	66	352
127	66	351
128	67	350
129	67	349
130	68	349
131	68	348
132	69	348
133	69	347
134	70	346
135	70	346
136	71	345
137	71	344
138	72	344
139	72	343
140	73	342
141	73	342
142	74	341
143	74	341
144	75	340
145	76	340
146	76	340
147	77	339
148	77	338
149	77	337
150	78	337
151	78	336
152	79	335
153	79	334
154	80	333
155	80	332
156	81	331
157	81	331
158	81	330
159	82	329
160	82	329
161	83	328
162	83	327
163	84	326
164	84	326
165	85	326
166	86	326
167	86	325
168	86	324
169	87	323
170	87	323
171	88	323
172	89	322
173	89	322
174	89	321
175	90	320
176	90	319
177	91	318
178	91	318
179	92	317
180	92	316
181	93	316
182	93	315
183	94	315
184	94	314
185	95	313
186	95	313
187	96	312
188	96	312
189	97	313
190	98	312
191	98	312
192	99	311
193	99	311
194	100	310
195	100	310
196	101	309
197	101	309
198	102	308
199	102	307
200	103	306
201	103	306
202	103	305
203	104	305
